sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor	seq_depth	lib_size_raw	lib_size
190616360768.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	21	21
190616360769.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	64	64
190616360770.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	24	24
190616360772.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	70	70
190616360773.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	62	62
190616360775.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	27	27
190616360777.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	10	10
190616360778.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	40	40
190616360780.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	16	16
190616360783.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	303	303
190616360784.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	467	467
190616360785.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	196	196
190616360786.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	243	243
190616360787.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	209	209
190616360788.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	341	341
190616360789.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	276	276
190616360790.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	302	302
190616360791.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	176	176
190616360792.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	186	186
190616360793.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	322	322
190616360794.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	221	221
190616360795.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	350	350
190616360796.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	384	384
190616360797.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	260	260
190616360798.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	1999	1999
190616360799.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	3428	3428
190616360800.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	5164	5164
190616360801.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2176	2176
190616360802.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2167	2167
190616360803.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2990	2990
190616360804.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	3297	3297
190616360805.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2718	2718
190616360806.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	4110	4110
190616360807.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	4348	4348
190616360808.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2650	2650
190616360809.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2358	2358
190616360810.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2429	2429
190616360811.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	4446	4446
190616360812.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	3446	3446
190616360813.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	21164	21164
190616360814.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	18478	18478
190616360815.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	20227	20227
190616360816.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	25448	25448
190616360817.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	20839	20839
190616360818.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	21187	21187
190616360819.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	19668	19668
190616360820.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	22902	22902
190616360821.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	27619	27619
190616360822.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	20961	20961
190616360823.1.1.1	T30	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	19437	19437
190616360824.1.1.1	T30	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	19560	19560
190616360825.1.1.1	T30	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	26448	26448
190616360826.1.1.1	T30	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	25997	25997
190616360827.1.1.1	T30	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	18867	18867
190616360828.1.1.1	T0	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	38957	38957
190616360829.1.1.1	T0	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	35585	35585
190616360830.1.1.1	T0	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	39190	39190
190616360831.1.1.1	T0	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	38877	38877
190616360832.1.1.1	T0	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	26423	26423
190616360833.1.1.1	T7	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	42186	42186
190616360834.1.1.1	T7	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	36640	36640
190616360835.1.1.1	T7	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	34016	34016
190616360836.1.1.1	T7	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	23629	23629
190616360837.1.1.1	T7	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	26793	26793
190616360838.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	37089	37089
190616360839.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	30644	30644
190616360840.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	36647	36647
190616360841.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	33642	33642
190616360842.1.1.1	T30	200000	200000	20000	200000	20000	200000	840000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	35822	35822
190616360771.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360774.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	10	10
190616360776.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	26	26
190616360779.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360781.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360782.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	0	0
190616360769.1.1.2	T0	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	47	71.2121212121212
190616360772.1.1.2	T0	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	34	51.51515151515151
190616360775.1.1.2	T7	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	16	24.242424242424242
190616360776.1.1.2	T7	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	24	36.36363636363636
190616360778.1.1.2	T30	20	20	2	20	2	20	84	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	16	24.242424242424242
190616360783.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	248	375.75757575757575
190616360784.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	339	513.6363636363636
190616360785.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	143	216.66666666666666
190616360786.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	155	234.84848484848482
190616360787.1.1.2	T0	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	153	231.8181818181818
190616360788.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	234	354.5454545454545
190616360789.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	209	316.66666666666663
190616360790.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	199	301.5151515151515
190616360791.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	150	227.27272727272725
190616360792.1.1.2	T7	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	150	227.27272727272725
190616360793.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	224	339.3939393939394
190616360794.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	151	228.78787878787878
190616360795.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	272	412.12121212121207
190616360796.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	289	437.8787878787879
190616360797.1.1.2	T30	200	200	20	200	20	200	840	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	227	343.9393939393939
190616360798.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1467	2222.7272727272725
190616360799.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2500	3787.8787878787875
190616360800.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	3802	5760.60606060606
190616360801.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1578	2390.909090909091
190616360802.1.1.2	T0	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	1667	2525.7575757575755
190616360803.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2310	3500
190616360804.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2520	3818.181818181818
190616360805.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	2005	3037.8787878787875
190616360806.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	3232	4896.969696969697
190616360807.1.1.2	T7	2000	2000	200	2000	200	2000	8400	seq2	23985332	30583	3179771	20622065	25000000	30000	2970000	22000000	29700	190816_M02526_0243_000000000-CHW9T	0.66	3179771	3329	5043.939393939394
